Encoded,Team_Name
0,Chennai Super Kings
1,Deccan Chargers
2,Delhi Capitals
3,Gujarat Titans
4,Kochi Tuskers Kerala
5,Kolkata Knight Riders
6,Lucknow Super Giants
7,Mumbai Indians
8,Pune Warriors
9,Punjab Kings
10,Rajasthan Royals
11,Rising Pune Supergiants
12,Royal Challengers Bengaluru
13,Sunrisers Hyderabad
